Date,Time,Temperature,Humidity
12/04/20,16:09,27.0*C,37.1%
12/04/20,16:09,27.0*C,37.1%
12/04/20,16:09,27.0*C,37.1%
12/04/20,16:09,27.0*C,37.1%
12/04/20,16:09,26.9*C,65.4%
12/04/20,16:09,27.5*C,65.6%
12/04/20,16:10,28.2*C,51.7%
12/04/20,16:10,28.2*C,45.0%
12/04/20,16:10,28.3*C,43.0%
12/04/20,16:10,28.2*C,42.2%
12/04/20,16:10,28.2*C,41.9%
12/04/20,16:16,27.3*C,45.9%
12/04/20,16:16,27.3*C,43.9%
12/04/20,16:16,27.3*C,44.1%
12/04/20,16:16,27.1*C,37.0%
12/04/20,16:17,28.0*C,47.0%
12/04/20,16:17,28.0*C,48.9%
12/04/20,16:17,28.0*C,50.7%
12/04/20,16:17,27.9*C,50.6%
12/04/20,16:17,27.9*C,48.8%
12/04/20,16:17,27.8*C,55.0%
12/04/20,16:17,27.8*C,42.2%
12/04/20,16:17,27.7*C,42.2%
12/04/20,16:17,27.7*C,41.8%
12/04/20,16:18,27.7*C,43.4%
12/04/20,16:18,27.7*C,43.4%
12/04/20,16:18,27.6*C,43.1%
12/04/20,16:18,27.6*C,46.7%
12/04/20,16:19,27.5*C,44.8%
12/04/20,16:19,27.5*C,45.0%
12/04/20,16:19,27.5*C,44.7%
12/04/20,16:19,27.5*C,44.9%
12/04/20,16:19,27.5*C,44.9%
12/04/20,16:19,27.5*C,45.3%
12/04/20,16:19,27.5*C,45.6%
12/04/20,16:19,27.5*C,45.0%
12/04/20,16:19,27.5*C,46.1%
12/04/20,16:20,27.5*C,46.3%
12/04/20,16:20,27.5*C,47.1%
12/04/20,16:20,27.5*C,47.0%
12/04/20,16:20,27.5*C,46.9%
12/04/20,16:24,27.4*C,52.9%
12/04/20,16:24,27.4*C,49.2%
12/04/20,16:24,27.4*C,49.9%
12/04/20,16:24,27.4*C,50.0%
12/04/20,16:25,27.4*C,51.3%
12/04/20,16:25,27.4*C,50.2%
12/04/20,16:25,27.4*C,50.0%
12/04/20,16:25,27.4*C,50.6%
12/04/20,16:25,27.4*C,53.1%
12/04/20,16:25,27.5*C,57.7%
12/04/20,16:25,27.4*C,45.4%
12/04/20,16:26,27.4*C,45.3%
12/04/20,16:26,27.4*C,45.4%
12/04/20,16:26,27.4*C,45.5%
12/04/20,16:26,27.3*C,45.4%
12/04/20,16:26,27.4*C,44.9%
12/04/20,16:26,27.4*C,45.8%
12/04/20,16:26,27.4*C,46.1%
12/04/20,16:26,27.3*C,46.1%
12/04/20,16:26,27.3*C,46.0%
12/04/20,16:26,27.3*C,45.9%
12/04/20,16:27,27.4*C,46.2%
12/04/20,16:27,27.4*C,46.8%
12/04/20,16:27,27.4*C,46.9%
12/04/20,16:27,27.4*C,47.5%
12/04/20,16:27,27.4*C,47.4%
12/04/20,16:27,27.4*C,47.1%
12/04/20,16:27,27.4*C,46.5%
12/04/20,16:27,27.5*C,46.5%
12/04/20,16:27,27.5*C,45.3%
